Zone,Gender,Year,Code,AgeGroup,Pop
23168,Female,1988,23,5-9,793
23168,Female,1988,23,50-54,160
23168,Female,1988,23,55-59,122
23168,Female,1988,23,60-64,100
23168,Female,1988,23,65-69,81
23168,Female,1988,23,70-74,52
23168,Female,1988,23,75-79,30
23168,Female,1988,23,80-above,18
23168,Female,1989,23,0-4,926
23168,Female,1989,23,10-14,715
23168,Female,1989,23,15-19,651
23168,Female,1989,23,20-24,633
23168,Female,1989,23,25-29,513
23168,Female,1989,23,30-34,413
23168,Female,1989,23,35-39,318
23168,Female,1989,23,40-44,228
23168,Female,1989,23,45-49,178
23168,Female,1989,23,5-9,800
23168,Female,1989,23,50-54,160
23168,Female,1989,23,55-59,121
23168,Female,1989,23,60-64,100
23168,Female,1989,23,65-69,81
23168,Female,1989,23,70-74,55
23168,Female,1989,23,75-79,34
23168,Female,1989,23,80-above,21
23168,Female,1990,23,0-4,942
23168,Female,1990,23,10-14,729
23168,Female,1990,23,15-19,652
23168,Female,1990,23,20-24,635
23168,Female,1990,23,25-29,524
23168,Female,1990,23,30-34,423
23168,Female,1990,23,35-39,326
23168,Female,1990,23,40-44,236
23168,Female,1990,23,45-49,178
23168,Female,1990,23,5-9,811
23168,Female,1990,23,50-54,158
23168,Female,1990,23,55-59,122
23168,Female,1990,23,60-64,100
23168,Female,1990,23,65-69,84
23168,Female,1990,23,70-74,58
23168,Female,1990,23,75-79,39
23168,Female,1990,23,80-above,23
23168,Female,1991,23,0-4,952
23168,Female,1991,23,10-14,738
23168,Female,1991,23,15-19,653
23168,Female,1991,23,20-24,633
23168,Female,1991,23,25-29,534
23168,Female,1991,23,30-34,431
23168,Female,1991,23,35-39,334
23168,Female,1991,23,40-44,243
23168,Female,1991,23,45-49,181
23168,Female,1991,23,5-9,822
23168,Female,1991,23,50-54,156
23168,Female,1991,23,55-59,122
23168,Female,1991,23,60-64,102
23168,Female,1991,23,65-69,86
23168,Female,1991,23,70-74,58
23168,Female,1991,23,75-79,41
23168,Female,1991,23,80-above,27
23168,Female,1992,23,0-4,955
23168,Female,1992,23,10-14,744
23168,Female,1992,23,15-19,658
23168,Female,1992,23,20-24,624
23168,Female,1992,23,25-29,544
23168,Female,1992,23,30-34,438
23168,Female,1992,23,35-39,342
23168,Female,1992,23,40-44,249
23168,Female,1992,23,45-49,186
23168,Female,1992,23,5-9,833
23168,Female,1992,23,50-54,155
23168,Female,1992,23,55-59,125
23168,Female,1992,23,60-64,104
23168,Female,1992,23,65-69,89
23168,Female,1992,23,70-74,62
23168,Female,1992,23,75-79,45
23168,Female,1992,23,80-above,31
23168,Female,1993,23,0-4,956
23168,Female,1993,23,10-14,748
23168,Female,1993,23,15-19,662
23168,Female,1993,23,20-24,612
23168,Female,1993,23,25-29,551
23168,Female,1993,23,30-34,443
23168,Female,1993,23,35-39,349
23168,Female,1993,23,40-44,254
23168,Female,1993,23,45-49,194
23168,Female,1993,23,5-9,839
23168,Female,1993,23,50-54,153
23168,Female,1993,23,55-59,128
23168,Female,1993,23,60-64,107
23168,Female,1993,23,65-69,91
23168,Female,1993,23,70-74,66
23168,Female,1993,23,75-79,48
23168,Female,1993,23,80-above,35
23168,Female,1994,23,0-4,951
23168,Female,1994,23,10-14,750
23168,Female,1994,23,15-19,662
23168,Female,1994,23,20-24,600
23168,Female,1994,23,25-29,555
23168,Female,1994,23,30-34,447
23168,Female,1994,23,35-39,360
23168,Female,1994,23,40-44,259
23168,Female,1994,23,45-49,204
23168,Female,1994,23,5-9,836
23168,Female,1994,23,50-54,155
23168,Female,1994,23,55-59,131
23168,Female,1994,23,60-64,111
23168,Female,1994,23,65-69,94
23168,Female,1994,23,70-74,70
23168,Female,1994,23,75-79,53
23168,Female,1994,23,80-above,41
23168,Female,1995,23,0-4,940
23168,Female,1995,23,10-14,753
23168,Female,1995,23,15-19,663
23168,Female,1995,23,20-24,593
23168,Female,1995,23,25-29,554
23168,Female,1995,23,30-34,453
23168,Female,1995,23,35-39,367
23168,Female,1995,23,40-44,268
23168,Female,1995,23,45-49,212
23168,Female,1995,23,5-9,828
23168,Female,1995,23,50-54,160
23168,Female,1995,23,55-59,135
23168,Female,1995,23,60-64,115
23168,Female,1995,23,65-69,97
23168,Female,1995,23,70-74,75
23168,Female,1995,23,75-79,58
23168,Female,1995,23,80-above,47
23168,Female,1996,23,0-4,938
23168,Female,1996,23,10-14,748
23168,Female,1996,23,15-19,658
23168,Female,1996,23,20-24,583
23168,Female,1996,23,25-29,545
23168,Female,1996,23,30-34,456
23168,Female,1996,23,35-39,373
23168,Female,1996,23,40-44,277
23168,Female,1996,23,45-49,221
23168,Female,1996,23,5-9,823
23168,Female,1996,23,50-54,168
23168,Female,1996,23,55-59,138
23168,Female,1996,23,60-64,122
23168,Female,1996,23,65-69,103
23168,Female,1996,23,70-74,78
23168,Female,1996,23,75-79,65
23168,Female,1996,23,80-above,54
23168,Female,1997,23,0-4,926
23168,Female,1997,23,10-14,742
23168,Female,1997,23,15-19,653
23168,Female,1997,23,20-24,578
23168,Female,1997,23,25-29,534
23168,Female,1997,23,30-34,460
23168,Female,1997,23,35-39,379
23168,Female,1997,23,40-44,289
23168,Female,1997,23,45-49,230
23168,Female,1997,23,5-9,819
23168,Female,1997,23,50-54,176
23168,Female,1997,23,55-59,142
23168,Female,1997,23,60-64,128
23168,Female,1997,23,65-69,109
23168,Female,1997,23,70-74,82
23168,Female,1997,23,75-79,70
23168,Female,1997,23,80-above,63
23168,Female,1998,23,0-4,906
23168,Female,1998,23,10-14,736
23168,Female,1998,23,15-19,648
23168,Female,1998,23,20-24,574
23168,Female,1998,23,25-29,520
23168,Female,1998,23,30-34,464
23168,Female,1998,23,35-39,384
23168,Female,1998,23,40-44,302
23168,Female,1998,23,45-49,240
23168,Female,1998,23,5-9,811
23168,Female,1998,23,50-54,189
23168,Female,1998,23,55-59,147
23168,Female,1998,23,60-64,136
23168,Female,1998,23,65-69,117
23168,Female,1998,23,70-74,86
23168,Female,1998,23,75-79,75
23168,Female,1998,23,80-above,70
23168,Female,1999,23,0-4,884
23168,Female,1999,23,10-14,729
23168,Female,1999,23,15-19,639
23168,Female,1999,23,20-24,570
23168,Female,1999,23,25-29,507
23168,Female,1999,23,30-34,461
23168,Female,1999,23,35-39,389
23168,Female,1999,23,40-44,315
23168,Female,1999,23,45-49,248
23168,Female,1999,23,5-9,800
23168,Female,1999,23,50-54,204
23168,Female,1999,23,55-59,152
23168,Female,1999,23,60-64,144
23168,Female,1999,23,65-69,126
23168,Female,1999,23,70-74,93
23168,Female,1999,23,75-79,79
23168,Female,1999,23,80-above,79
23168,Female,2000,23,0-4,857
23168,Female,2000,23,10-14,723
23168,Female,2000,23,15-19,633
23168,Female,2000,23,20-24,566
23168,Female,2000,23,25-29,496
23168,Female,2000,23,30-34,456
23168,Female,2000,23,35-39,392
23168,Female,2000,23,40-44,327
23168,Female,2000,23,45-49,262
23168,Female,2000,23,5-9,783
23168,Female,2000,23,50-54,217
23168,Female,2000,23,55-59,163
23168,Female,2000,23,60-64,151
23168,Female,2000,23,65-69,136
23168,Female,2000,23,70-74,102
23168,Female,2000,23,75-79,82
23168,Female,2000,23,80-above,87
23168,Female,2001,23,0-4,838
23168,Female,2001,23,10-14,711
23168,Female,2001,23,15-19,624
23168,Female,2001,23,20-24,558
23168,Female,2001,23,25-29,488
23168,Female,2001,23,30-34,453
23168,Female,2001,23,35-39,400
23168,Female,2001,23,40-44,339
23168,Female,2001,23,45-49,275
23168,Female,2001,23,5-9,762
23168,Female,2001,23,50-54,231
23168,Female,2001,23,55-59,172
23168,Female,2001,23,60-64,158
23168,Female,2001,23,65-69,145
23168,Female,2001,23,70-74,110
23168,Female,2001,23,75-79,86
23168,Female,2001,23,80-above,96
23168,Female,2002,23,0-4,824
23168,Female,2002,23,10-14,697
23168,Female,2002,23,15-19,614
23168,Female,2002,23,20-24,549
23168,Female,2002,23,25-29,478
23168,Female,2002,23,30-34,449
23168,Female,2002,23,35-39,405
23168,Female,2002,23,40-44,352
23168,Female,2002,23,45-49,290
23168,Female,2002,23,5-9,738
23168,Female,2002,23,50-54,243
23168,Female,2002,23,55-59,182
23168,Female,2002,23,60-64,164
23168,Female,2002,23,65-69,154
23168,Female,2002,23,70-74,118
23168,Female,2002,23,75-79,89
23168,Female,2002,23,80-above,104
23168,Female,2003,23,0-4,808
23168,Female,2003,23,10-14,686
23168,Female,2003,23,15-19,604
23168,Female,2003,23,20-24,541
23168,Female,2003,23,25-29,471
23168,Female,2003,23,30-34,444
23168,Female,2003,23,35-39,412
23168,Female,2003,23,40-44,367
23168,Female,2003,23,45-49,305
23168,Female,2003,23,5-9,713
23168,Female,2003,23,50-54,254
23168,Female,2003,23,55-59,194
23168,Female,2003,23,60-64,172
23168,Female,2003,23,65-69,162
23168,Female,2003,23,70-74,128
23168,Female,2003,23,75-79,93
23168,Female,2003,23,80-above,112
23168,Female,2004,23,0-4,796
23168,Female,2004,23,10-14,675
23168,Female,2004,23,15-19,596
23168,Female,2004,23,20-24,533
23168,Female,2004,23,25-29,463
23168,Female,2004,23,30-34,441
23168,Female,2004,23,35-39,417
23168,Female,2004,23,40-44,380
23168,Female,2004,23,45-49,321
23168,Female,2004,23,5-9,689
23168,Female,2004,23,50-54,270
23168,Female,2004,23,55-59,206
23168,Female,2004,23,60-64,179
23168,Female,2004,23,65-69,171
23168,Female,2004,23,70-74,136
23168,Female,2004,23,75-79,96
23168,Female,2004,23,80-above,122
23168,Female,2005,23,0-4,794
23168,Female,2005,23,10-14,664
23168,Female,2005,23,15-19,591
23168,Female,2005,23,20-24,528
23168,Female,2005,23,25-29,459
23168,Female,2005,23,30-34,440
23168,Female,2005,23,35-39,422
23168,Female,2005,23,40-44,393
23168,Female,2005,23,45-49,335
23168,Female,2005,23,5-9,668
23168,Female,2005,23,50-54,282
23168,Female,2005,23,55-59,215
23168,Female,2005,23,60-64,186
23168,Female,2005,23,65-69,178
23168,Female,2005,23,70-74,144
23168,Female,2005,23,75-79,100
23168,Female,2005,23,80-above,129
23168,Female,2006,23,0-4,790
23168,Female,2006,23,10-14,661
23168,Female,2006,23,15-19,600
23168,Female,2006,23,20-24,534
23168,Female,2006,23,25-29,464
23168,Female,2006,23,30-34,439
23168,Female,2006,23,35-39,424
23168,Female,2006,23,40-44,402
23168,Female,2006,23,45-49,344
23168,Female,2006,23,5-9,671
23168,Female,2006,23,50-54,293
23168,Female,2006,23,55-59,225
23168,Female,2006,23,60-64,189
23168,Female,2006,23,65-69,178
23168,Female,2006,23,70-74,149
23168,Female,2006,23,75-79,95
23168,Female,2006,23,80-above,129
23168,Female,2007,23,0-4,781
23168,Female,2007,23,10-14,655
23168,Female,2007,23,15-19,610
23168,Female,2007,23,20-24,540
23168,Female,2007,23,25-29,470
23168,Female,2007,23,30-34,438
23168,Female,2007,23,35-39,423
23168,Female,2007,23,40-44,407
23168,Female,2007,23,45-49,354
23168,Female,2007,23,5-9,679
23168,Female,2007,23,50-54,302
23168,Female,2007,23,55-59,237
23168,Female,2007,23,60-64,190
23168,Female,2007,23,65-69,176
23168,Female,2007,23,70-74,154
23168,Female,2007,23,75-79,95
23168,Female,2007,23,80-above,134
23168,Female,2008,23,0-4,770
23168,Female,2008,23,10-14,646
23168,Female,2008,23,15-19,617
23168,Female,2008,23,20-24,545
23168,Female,2008,23,25-29,478
23168,Female,2008,23,30-34,434
23168,Female,2008,23,35-39,421
23168,Female,2008,23,40-44,410
23168,Female,2008,23,45-49,364
23168,Female,2008,23,5-9,694
23168,Female,2008,23,50-54,311
23168,Female,2008,23,55-59,250
23168,Female,2008,23,60-64,194
23168,Female,2008,23,65-69,174
23168,Female,2008,23,70-74,158
23168,Female,2008,23,75-79,101
23168,Female,2008,23,80-above,138
23168,Female,2009,23,0-4,752
23168,Female,2009,23,10-14,640
23168,Female,2009,23,15-19,622
23168,Female,2009,23,20-24,550
23168,Female,2009,23,25-29,489
23168,Female,2009,23,30-34,433
23168,Female,2009,23,35-39,421
23168,Female,2009,23,40-44,412
23168,Female,2009,23,45-49,374
23168,Female,2009,23,5-9,712
23168,Female,2009,23,50-54,318
23168,Female,2009,23,55-59,263
23168,Female,2009,23,60-64,199
23168,Female,2009,23,65-69,174
23168,Female,2009,23,70-74,160
23168,Female,2009,23,75-79,109
23168,Female,2009,23,80-above,143
23168,Female,2010,23,0-4,725
23168,Female,2010,23,10-14,641
23168,Female,2010,23,15-19,626
23168,Female,2010,23,20-24,555
23168,Female,2010,23,25-29,496
23168,Female,2010,23,30-34,437
23168,Female,2010,23,35-39,421
23168,Female,2010,23,40-44,414
23168,Female,2010,23,45-49,383
23168,Female,2010,23,5-9,731
23168,Female,2010,23,50-54,327
23168,Female,2010,23,55-59,275
23168,Female,2010,23,60-64,206
23168,Female,2010,23,65-69,174
23168,Female,2010,23,70-74,161
23168,Female,2010,23,75-79,121
23168,Female,2010,23,80-above,147
23168,Female,2011,23,0-4,721
23168,Female,2011,23,10-14,646
23168,Female,2011,23,15-19,624
23168,Female,2011,23,20-24,561
23168,Female,2011,23,25-29,502
23168,Female,2011,23,30-34,442
23168,Female,2011,23,35-39,422
23168,Female,2011,23,40-44,414
23168,Female,2011,23,45-49,391
23168,Female,2011,23,5-9,734
23168,Female,2011,23,50-54,336
23168,Female,2011,23,55-59,286
23168,Female,2011,23,60-64,216
23168,Female,2011,23,65-69,175
23168,Female,2011,23,70-74,157
23168,Female,2011,23,75-79,128
23168,Female,2011,23,80-above,152
23168,Female,2012,23,0-4,718
23168,Female,2012,23,10-14,658
23168,Female,2012,23,15-19,619
23168,Female,2012,23,20-24,567
23168,Female,2012,23,25-29,506
23168,Female,2012,23,30-34,450
23168,Female,2012,23,35-39,421
23168,Female,2012,23,40-44,415
23168,Female,2012,23,45-49,398
23168,Female,2012,23,5-9,736
23168,Female,2012,23,50-54,348
23168,Female,2012,23,55-59,295
23168,Female,2012,23,60-64,229
23168,Female,2012,23,65-69,179
23168,Female,2012,23,70-74,156
23168,Female,2012,23,75-79,135
23168,Female,2012,23,80-above,155
23168,Female,2013,23,0-4,713
23168,Female,2013,23,10-14,673
23168,Female,2013,23,15-19,615
23168,Female,2013,23,20-24,575
23168,Female,2013,23,25-29,509
23168,Female,2013,23,30-34,458
23168,Female,2013,23,35-39,422
23168,Female,2013,23,40-44,416
23168,Female,2013,23,45-49,403
23168,Female,2013,23,5-9,734
23168,Female,2013,23,50-54,357
23168,Female,2013,23,55-59,305
23168,Female,2013,23,60-64,242
23168,Female,2013,23,65-69,184
23168,Female,2013,23,70-74,154
23168,Female,2013,23,75-79,139
23168,Female,2013,23,80-above,160
23168,Female,2014,23,0-4,707
23168,Female,2014,23,10-14,688
23168,Female,2014,23,15-19,614
23168,Female,2014,23,20-24,580
23168,Female,2014,23,25-29,511
23168,Female,2014,23,30-34,467
23168,Female,2014,23,35-39,424
23168,Female,2014,23,40-44,418
23168,Female,2014,23,45-49,407
23168,Female,2014,23,5-9,726
23168,Female,2014,23,50-54,369
23168,Female,2014,23,55-59,315
23168,Female,2014,23,60-64,256
23168,Female,2014,23,65-69,189
23168,Female,2014,23,70-74,156
23168,Female,2014,23,75-79,139
23168,Female,2014,23,80-above,163
23168,Female,2015,23,0-4,705
23168,Female,2015,23,10-14,706
23168,Female,2015,23,15-19,617
23168,Female,2015,23,20-24,584
23168,Female,2015,23,25-29,515
23168,Female,2015,23,30-34,473
23168,Female,2015,23,35-39,427
23168,Female,2015,23,40-44,417
23168,Female,2015,23,45-49,408
23168,Female,2015,23,5-9,709
23168,Female,2015,23,50-54,378
23168,Female,2015,23,55-59,324
23168,Female,2015,23,60-64,269
23168,Female,2015,23,65-69,196
23168,Female,2015,23,70-74,158
23168,Female,2015,23,75-79,138
23168,Female,2015,23,80-above,168
23168,Female,2016,23,0-4,704
23168,Female,2016,23,10-14,709
23168,Female,2016,23,15-19,624
23168,Female,2016,23,20-24,587
23168,Female,2016,23,25-29,521
23168,Female,2016,23,30-34,477
23168,Female,2016,23,35-39,431
23168,Female,2016,23,40-44,418
23168,Female,2016,23,45-49,409
23168,Female,2016,23,5-9,704
23168,Female,2016,23,50-54,387
23168,Female,2016,23,55-59,335
23168,Female,2016,23,60-64,279
23168,Female,2016,23,65-69,206
23168,Female,2016,23,70-74,161
23168,Female,2016,23,75-79,140
23168,Female,2016,23,80-above,174
23168,Female,2017,23,0-4,702
23168,Female,2017,23,10-14,711
23168,Female,2017,23,15-19,634
23168,Female,2017,23,20-24,587
23168,Female,2017,23,25-29,528
23168,Female,2017,23,30-34,480
23168,Female,2017,23,35-39,438
23168,Female,2017,23,40-44,419
23168,Female,2017,23,45-49,411
23168,Female,2017,23,5-9,699
23168,Female,2017,23,50-54,393
23168,Female,2017,23,55-59,345
23168,Female,2017,23,60-64,290
23168,Female,2017,23,65-69,218
23168,Female,2017,23,70-74,165
23168,Female,2017,23,75-79,140
23168,Female,2017,23,80-above,180
23168,Female,2018,23,0-4,701
23168,Female,2018,23,10-14,708
23168,Female,2018,23,15-19,646
23168,Female,2018,23,20-24,586
23168,Female,2018,23,25-29,538
23168,Female,2018,23,30-34,482
23168,Female,2018,23,35-39,445
23168,Female,2018,23,40-44,421
23168,Female,2018,23,45-49,411
23168,Female,2018,23,5-9,692
23168,Female,2018,23,50-54,400
23168,Female,2018,23,55-59,355
23168,Female,2018,23,60-64,299
23168,Female,2018,23,65-69,232
23168,Female,2018,23,70-74,170
23168,Female,2018,23,75-79,137
23168,Female,2018,23,80-above,186
23168,Female,2019,23,0-4,698
23168,Female,2019,23,10-14,701
23168,Female,2019,23,15-19,659
23168,Female,2019,23,20-24,587
23168,Female,2019,23,25-29,547
23168,Female,2019,23,30-34,487
23168,Female,2019,23,35-39,450
23168,Female,2019,23,40-44,424
23168,Female,2019,23,45-49,413
23168,Female,2019,23,5-9,686
23168,Female,2019,23,50-54,402
23168,Female,2019,23,55-59,366
23168,Female,2019,23,60-64,308
23168,Female,2019,23,65-69,245
23168,Female,2019,23,70-74,174
23168,Female,2019,23,75-79,134
23168,Female,2019,23,80-above,192
23168,Female,2020,23,0-4,695
23168,Female,2020,23,10-14,685
23168,Female,2020,23,15-19,674
23168,Female,2020,23,20-24,588
23168,Female,2020,23,25-29,553
23168,Female,2020,23,30-34,493
23168,Female,2020,23,35-39,457
23168,Female,2020,23,40-44,425
23168,Female,2020,23,45-49,411
23168,Female,2020,23,5-9,678
23168,Female,2020,23,50-54,404
23168,Female,2020,23,55-59,375
23168,Female,2020,23,60-64,316
23168,Female,2020,23,65-69,256
23168,Female,2020,23,70-74,180
23168,Female,2020,23,75-79,138
23168,Female,2020,23,80-above,197
23168,Male,1985,23,0-4,850
23168,Male,1985,23,10-14,686
23168,Male,1985,23,15-19,694
23168,Male,1985,23,20-24,625
23168,Male,1985,23,25-29,465
23168,Male,1985,23,30-34,371
23168,Male,1985,23,35-39,277
23168,Male,1985,23,40-44,198
23168,Male,1985,23,45-49,199
23168,Male,1985,23,5-9,753
23168,Male,1985,23,50-54,154
23168,Male,1985,23,55-59,131
23168,Male,1985,23,60-64,122
23168,Male,1985,23,65-69,89
23168,Male,1985,23,70-74,59
23168,Male,1985,23,75-79,40
23168,Male,1985,23,80-above,17
23168,Male,1986,23,0-4,855
23168,Male,1986,23,10-14,691
23168,Male,1986,23,15-19,692
23168,Male,1986,23,20-24,632
23168,Male,1986,23,25-29,477
23168,Male,1986,23,30-34,375
23168,Male,1986,23,35-39,283
23168,Male,1986,23,40-44,200
23168,Male,1986,23,45-49,194
23168,Male,1986,23,5-9,770
23168,Male,1986,23,50-54,154
23168,Male,1986,23,55-59,124
23168,Male,1986,23,60-64,120
23168,Male,1986,23,65-69,90
23168,Male,1986,23,70-74,59
23168,Male,1986,23,75-79,44
23168,Male,1986,23,80-above,20
23168,Male,1987,23,0-4,862
23168,Male,1987,23,10-14,701
23168,Male,1987,23,15-19,682
23168,Male,1987,23,20-24,638
23168,Male,1987,23,25-29,492
23168,Male,1987,23,30-34,381
23168,Male,1987,23,35-39,290
23168,Male,1987,23,40-44,205
23168,Male,1987,23,45-49,188
23168,Male,1987,23,5-9,780
23168,Male,1987,23,50-54,155
23168,Male,1987,23,55-59,118
23168,Male,1987,23,60-64,115
23168,Male,1987,23,65-69,93
23168,Male,1987,23,70-74,60
23168,Male,1987,23,75-79,49
23168,Male,1987,23,80-above,23
23168,Male,1988,23,0-4,879
23168,Male,1988,23,10-14,714
23168,Male,1988,23,15-19,670
23168,Male,1988,23,20-24,645
23168,Male,1988,23,25-29,503
23168,Male,1988,23,30-34,388
23168,Male,1988,23,35-39,295
23168,Male,1988,23,40-44,210
23168,Male,1988,23,45-49,183
23168,Male,1988,23,5-9,788
23168,Male,1988,23,50-54,155
23168,Male,1988,23,55-59,116
23168,Male,1988,23,60-64,109
23168,Male,1988,23,65-69,95
23168,Male,1988,23,70-74,61
23168,Male,1988,23,75-79,51
23168,Male,1988,23,80-above,27
23168,Male,1989,23,0-4,899
23168,Male,1989,23,10-14,724
23168,Male,1989,23,15-19,660
23168,Male,1989,23,20-24,645
23168,Male,1989,23,25-29,513
23168,Male,1989,23,30-34,397
23168,Male,1989,23,35-39,301
23168,Male,1989,23,40-44,216
23168,Male,1989,23,45-49,179
23168,Male,1989,23,5-9,795
23168,Male,1989,23,50-54,156
23168,Male,1989,23,55-59,115
23168,Male,1989,23,60-64,105
23168,Male,1989,23,65-69,95
23168,Male,1989,23,70-74,64
23168,Male,1989,23,75-79,54
23168,Male,1989,23,80-above,30
23168,Male,1990,23,0-4,911
23168,Male,1990,23,10-14,734
23168,Male,1990,23,15-19,654
23168,Male,1990,23,20-24,644
23168,Male,1990,23,25-29,524
23168,Male,1990,23,30-34,404
23168,Male,1990,23,35-39,309
23168,Male,1990,23,40-44,227
23168,Male,1990,23,45-49,178
23168,Male,1990,23,5-9,805
23168,Male,1990,23,50-54,155
23168,Male,1990,23,55-59,115
23168,Male,1990,23,60-64,101
23168,Male,1990,23,65-69,94
23168,Male,1990,23,70-74,66
23168,Male,1990,23,75-79,56
23168,Male,1990,23,80-above,34
23168,Male,1991,23,0-4,939
23168,Male,1991,23,10-14,738
23168,Male,1991,23,15-19,653
23168,Male,1991,23,20-24,636
23168,Male,1991,23,25-29,532
23168,Male,1991,23,30-34,411
23168,Male,1991,23,35-39,316
23168,Male,1991,23,40-44,233
23168,Male,1991,23,45-49,179
23168,Male,1991,23,5-9,818
23168,Male,1991,23,50-54,154
23168,Male,1991,23,55-59,115
23168,Male,1991,23,60-64,100
23168,Male,1991,23,65-69,94
23168,Male,1991,23,70-74,69
23168,Male,1991,23,75-79,55
23168,Male,1991,23,80-above,38
23168,Male,1992,23,0-4,950
23168,Male,1992,23,10-14,738
23168,Male,1992,23,15-19,654
23168,Male,1992,23,20-24,623
23168,Male,1992,23,25-29,539
23168,Male,1992,23,30-34,419
23168,Male,1992,23,35-39,324
23168,Male,1992,23,40-44,241
23168,Male,1992,23,45-49,183
23168,Male,1992,23,5-9,832
23168,Male,1992,23,50-54,152
23168,Male,1992,23,55-59,120
23168,Male,1992,23,60-64,102
23168,Male,1992,23,65-69,94
23168,Male,1992,23,70-74,73
23168,Male,1992,23,75-79,58
23168,Male,1992,23,80-above,42
23168,Male,1993,23,0-4,958
23168,Male,1993,23,10-14,737
23168,Male,1993,23,15-19,657
23168,Male,1993,23,20-24,610
23168,Male,1993,23,25-29,545
23168,Male,1993,23,30-34,426
23168,Male,1993,23,35-39,334
23168,Male,1993,23,40-44,249
23168,Male,1993,23,45-49,190
23168,Male,1993,23,5-9,850
23168,Male,1993,23,50-54,152
23168,Male,1993,23,55-59,125
23168,Male,1993,23,60-64,103
23168,Male,1993,23,65-69,94
23168,Male,1993,23,70-74,79
23168,Male,1993,23,75-79,60
23168,Male,1993,23,80-above,47
23168,Male,1994,23,0-4,952
23168,Male,1994,23,10-14,737
23168,Male,1994,23,15-19,657
23168,Male,1994,23,20-24,596
23168,Male,1994,23,25-29,548
23168,Male,1994,23,30-34,434
23168,Male,1994,23,35-39,346
23168,Male,1994,23,40-44,258
23168,Male,1994,23,45-49,200
23168,Male,1994,23,5-9,862
23168,Male,1994,23,50-54,156
23168,Male,1994,23,55-59,133
23168,Male,1994,23,60-64,109
23168,Male,1994,23,65-69,95
23168,Male,1994,23,70-74,83
23168,Male,1994,23,75-79,68
23168,Male,1994,23,80-above,52
23168,Male,1995,23,0-4,947
23168,Male,1995,23,10-14,738
23168,Male,1995,23,15-19,657
23168,Male,1995,23,20-24,588
23168,Male,1995,23,25-29,545
23168,Male,1995,23,30-34,442
23168,Male,1995,23,35-39,355
23168,Male,1995,23,40-44,270
23168,Male,1995,23,45-49,212
23168,Male,1995,23,5-9,868
23168,Male,1995,23,50-54,161
23168,Male,1995,23,55-59,140
23168,Male,1995,23,60-64,113
23168,Male,1995,23,65-69,99
23168,Male,1995,23,70-74,86
23168,Male,1995,23,75-79,74
23168,Male,1995,23,80-above,56
23168,Male,1996,23,0-4,938
23168,Male,1996,23,10-14,743
23168,Male,1996,23,15-19,657
23168,Male,1996,23,20-24,583
23168,Male,1996,23,25-29,540
23168,Male,1996,23,30-34,447
23168,Male,1996,23,35-39,367
23168,Male,1996,23,40-44,283
23168,Male,1996,23,45-49,223
23168,Male,1996,23,5-9,866
23168,Male,1996,23,50-54,170
23168,Male,1996,23,55-59,145
23168,Male,1996,23,60-64,123
23168,Male,1996,23,65-69,104
23168,Male,1996,23,70-74,87
23168,Male,1996,23,75-79,81
23168,Male,1996,23,80-above,62
23168,Male,1997,23,0-4,924
23168,Male,1997,23,10-14,749
23168,Male,1997,23,15-19,654
23168,Male,1997,23,20-24,583
